======================================
       AVERAGE ION TRAJECTORY         
======================================
 
Compiled: 15:08:41  11/01/2016    
MPI Processes:    1
 
Date: 21:35 24/06/2016
    0.62327373E+06        0.11630057E+05
    0.62707418E+06        0.11622758E+05
    0.63087463E+06        0.11615462E+05
    0.63467508E+06        0.11608168E+05
    0.63847553E+06        0.11600876E+05
    0.64227598E+06        0.11593585E+05
    0.64607643E+06        0.11586296E+05
    0.64987687E+06        0.11579007E+05
    0.65367732E+06        0.11571719E+05
    0.65747777E+06        0.11564431E+05
    0.66127822E+06        0.11557143E+05
    0.66507867E+06        0.11549855E+05
    0.66887912E+06        0.11542566E+05
    0.67267957E+06        0.11535277E+05
    0.67648002E+06        0.11527986E+05
    0.68028047E+06        0.11520694E+05
    0.68408092E+06        0.11513400E+05
    0.68788137E+06        0.11506105E+05
    0.69168182E+06        0.11498807E+05
    0.69548227E+06        0.11491506E+05
    0.69928272E+06        0.11484203E+05
    0.70308317E+06        0.11476898E+05
    0.70688362E+06        0.11469588E+05
    0.71068407E+06        0.11462276E+05
    0.71448452E+06        0.11454959E+05
    0.71828497E+06        0.11447639E+05
    0.72208542E+06        0.11440315E+05
    0.72588587E+06        0.11432986E+05
    0.72968632E+06        0.11425652E+05
    0.73348677E+06        0.11418313E+05
    0.73728721E+06        0.11410970E+05
    0.74108766E+06        0.11403621E+05
    0.74488811E+06        0.11396266E+05
    0.74868856E+06        0.11388906E+05
    0.75248901E+06        0.11381539E+05
    0.75628946E+06        0.11374166E+05
    0.76008991E+06        0.11366787E+05
    0.76389036E+06        0.11359401E+05
    0.76769081E+06        0.11352008E+05
    0.77149126E+06        0.11344608E+05
    0.77529171E+06        0.11337200E+05
    0.77909216E+06        0.11329786E+05
    0.78289261E+06        0.11322363E+05
    0.78669306E+06        0.11314932E+05
    0.79049351E+06        0.11307494E+05
    0.79429396E+06        0.11300047E+05
    0.79809441E+06        0.11292591E+05
    0.80189486E+06        0.11285127E+05
    0.80569531E+06        0.11277654E+05
    0.80949576E+06        0.11270171E+05
    0.81329621E+06        0.11262680E+05
    0.81709666E+06        0.11255179E+05
    0.82089711E+06        0.11247668E+05
    0.82469755E+06        0.11240148E+05
    0.82849800E+06        0.11232617E+05
    0.83229845E+06        0.11225077E+05
    0.83609890E+06        0.11217526E+05
    0.83989935E+06        0.11209965E+05
    0.84369980E+06        0.11202393E+05
    0.84750025E+06        0.11194810E+05
    0.85130070E+06        0.11187217E+05
    0.85510115E+06        0.11179612E+05
    0.85890160E+06        0.11171996E+05
    0.86270205E+06        0.11164368E+05
    0.86650250E+06        0.11156729E+05
    0.87030295E+06        0.11149078E+05
    0.87410340E+06        0.11141415E+05
    0.87790385E+06        0.11133741E+05
    0.88170430E+06        0.11126054E+05
    0.88550475E+06        0.11118355E+05
    0.88930520E+06        0.11110643E+05
    0.89310565E+06        0.11102919E+05
    0.89690610E+06        0.11095182E+05
    0.90070655E+06        0.11087432E+05
    0.90450700E+06        0.11079670E+05
    0.90830744E+06        0.11071894E+05
    0.91210789E+06        0.11064105E+05
    0.91590834E+06        0.11056303E+05
    0.91970879E+06        0.11048487E+05
    0.92350924E+06        0.11040658E+05
    0.92730969E+06        0.11032815E+05
    0.93111014E+06        0.11024958E+05
    0.93491059E+06        0.11017087E+05
    0.93871104E+06        0.11009203E+05
    0.94251149E+06        0.11001304E+05
    0.94631194E+06        0.10993391E+05
    0.95011239E+06        0.10985463E+05
    0.95391284E+06        0.10977521E+05
    0.95771329E+06        0.10969565E+05
    0.96151374E+06        0.10961594E+05
    0.96531419E+06        0.10953608E+05
    0.96911464E+06        0.10945608E+05
    0.97291509E+06        0.10937592E+05
    0.97671554E+06        0.10929561E+05
    0.98051599E+06        0.10921516E+05
    0.98431644E+06        0.10913455E+05
    0.98811689E+06        0.10905379E+05
    0.99191734E+06        0.10897288E+05
    0.99571778E+06        0.10889181E+05
    0.99951823E+06        0.10881058E+05
    0.10033187E+07        0.10872920E+05
    0.10071191E+07        0.10864767E+05
    0.10109196E+07        0.10856598E+05
    0.10147200E+07        0.10848412E+05
    0.10185205E+07        0.10840211E+05
    0.10223209E+07        0.10831994E+05
    0.10261214E+07        0.10823762E+05
    0.10299218E+07        0.10815512E+05
    0.10337223E+07        0.10807247E+05
    0.10375227E+07        0.10798966E+05
    0.10413232E+07        0.10790668E+05
    0.10451236E+07        0.10782355E+05
    0.10489241E+07        0.10774024E+05
    0.10527245E+07        0.10765678E+05
    0.10565250E+07        0.10757315E+05
    0.10603254E+07        0.10748935E+05
    0.10641259E+07        0.10740539E+05
    0.10679263E+07        0.10732126E+05
    0.10717268E+07        0.10723697E+05
    0.10755272E+07        0.10715250E+05
    0.10793277E+07        0.10706788E+05
    0.10831281E+07        0.10698308E+05
    0.10869286E+07        0.10689812E+05
    0.10907290E+07        0.10681298E+05
    0.10945295E+07        0.10672768E+05
    0.10983299E+07        0.10664221E+05
    0.11021304E+07        0.10655657E+05
    0.11059308E+07        0.10647076E+05
    0.11097313E+07        0.10638478E+05
    0.11135317E+07        0.10629863E+05
    0.11173322E+07        0.10621231E+05
    0.11211326E+07        0.10612581E+05
    0.11249331E+07        0.10603915E+05
    0.11287335E+07        0.10595232E+05
    0.11325340E+07        0.10586531E+05
    0.11363344E+07        0.10577813E+05
    0.11401349E+07        0.10569079E+05
    0.11439353E+07        0.10560326E+05
    0.11477358E+07        0.10551557E+05
    0.11515362E+07        0.10542771E+05
    0.11553367E+07        0.10533967E+05
    0.11591371E+07        0.10525146E+05
    0.11629376E+07        0.10516308E+05
    0.11667380E+07        0.10507452E+05
    0.11705385E+07        0.10498580E+05
    0.11743389E+07        0.10489690E+05
    0.11781394E+07        0.10480783E+05
    0.11819398E+07        0.10471858E+05
    0.11857403E+07        0.10462916E+05
    0.11895407E+07        0.10453957E+05
    0.11933412E+07        0.10444981E+05
    0.11971416E+07        0.10435988E+05
    0.12009421E+07        0.10426977E+05
    0.12047425E+07        0.10417949E+05
    0.12085430E+07        0.10408904E+05
    0.12123434E+07        0.10399842E+05
    0.12161439E+07        0.10390762E+05
    0.12199443E+07        0.10381666E+05
    0.12237448E+07        0.10372552E+05
    0.12275452E+07        0.10363421E+05
    0.12313457E+07        0.10354273E+05
    0.12351461E+07        0.10345108E+05
    0.12389466E+07        0.10335925E+05
    0.12427470E+07        0.10326726E+05
    0.12465475E+07        0.10317509E+05
    0.12503479E+07        0.10308276E+05
    0.12541484E+07        0.10299026E+05
    0.12579488E+07        0.10289758E+05
    0.12617493E+07        0.10280474E+05
    0.12655497E+07        0.10271172E+05
    0.12693502E+07        0.10261854E+05
    0.12731506E+07        0.10252519E+05
    0.12769511E+07        0.10243167E+05
    0.12807515E+07        0.10233799E+05
    0.12845520E+07        0.10224413E+05
    0.12883524E+07        0.10215011E+05
    0.12921529E+07        0.10205592E+05
    0.12959533E+07        0.10196157E+05
    0.12997537E+07        0.10186704E+05
    0.13035542E+07        0.10177236E+05
    0.13073546E+07        0.10167751E+05
    0.13111551E+07        0.10158249E+05
    0.13149555E+07        0.10148731E+05
    0.13187560E+07        0.10139196E+05
    0.13225564E+07        0.10129645E+05
    0.13263569E+07        0.10120078E+05
    0.13301573E+07        0.10110494E+05
    0.13339578E+07        0.10100894E+05
    0.13377582E+07        0.10091278E+05
    0.13415587E+07        0.10081646E+05
    0.13453591E+07        0.10071998E+05
    0.13491596E+07        0.10062334E+05
    0.13529600E+07        0.10052654E+05
    0.13567605E+07        0.10042958E+05
    0.13605609E+07        0.10033246E+05
    0.13643614E+07        0.10023518E+05
    0.13681618E+07        0.10013774E+05
    0.13719623E+07        0.10004015E+05
    0.13757627E+07        0.99942403E+04
    0.13795632E+07        0.99844498E+04
    0.13833636E+07        0.99746438E+04
    0.13871641E+07        0.99648223E+04
    0.13909645E+07        0.99549855E+04
    0.13947650E+07        0.99451333E+04
    0.13985654E+07        0.99352658E+04
    0.14023659E+07        0.99253831E+04
    0.14061663E+07        0.99154852E+04
    0.14099668E+07        0.99055723E+04
    0.14137672E+07        0.98956443E+04
    0.14175677E+07        0.98857014E+04
    0.14213681E+07        0.98757436E+04
    0.14251686E+07        0.98657710E+04
    0.14289690E+07        0.98557836E+04
    0.14327695E+07        0.98457815E+04
    0.14365699E+07        0.98357648E+04
    0.14403704E+07        0.98257336E+04
    0.14441708E+07        0.98156879E+04
    0.14479713E+07        0.98056278E+04
    0.14517717E+07        0.97955534E+04
    0.14555722E+07        0.97854647E+04
    0.14593726E+07        0.97753619E+04
    0.14631731E+07        0.97652450E+04
    0.14669735E+07        0.97551140E+04
    0.14707740E+07        0.97449690E+04
    0.14745744E+07        0.97348102E+04
    0.14783749E+07        0.97246376E+04
    0.14821753E+07        0.97144513E+04
    0.14859758E+07        0.97042514E+04
    0.14897762E+07        0.96940378E+04
    0.14935767E+07        0.96838108E+04
    0.14973771E+07        0.96735704E+04
    0.15011776E+07        0.96633167E+04
    0.15049780E+07        0.96530497E+04
    0.15087785E+07        0.96427696E+04
    0.15125789E+07        0.96324763E+04
    0.15163794E+07        0.96221701E+04
    0.15201798E+07        0.96118510E+04
    0.15239803E+07        0.96015190E+04
    0.15277807E+07        0.95911743E+04
    0.15315812E+07        0.95808170E+04
    0.15353816E+07        0.95704470E+04
    0.15391821E+07        0.95600646E+04
    0.15429825E+07        0.95496698E+04
    0.15467830E+07        0.95392626E+04
    0.15505834E+07        0.95288433E+04
    0.15543839E+07        0.95184117E+04
    0.15581843E+07        0.95079681E+04
    0.15619848E+07        0.94975126E+04
    0.15657852E+07        0.94870451E+04
    0.15695857E+07        0.94765659E+04
    0.15733861E+07        0.94660750E+04
    0.15771866E+07        0.94555724E+04
    0.15809870E+07        0.94450584E+04
    0.15847875E+07        0.94345328E+04
    0.15885879E+07        0.94239960E+04
    0.15923884E+07        0.94134479E+04
    0.15961888E+07        0.94028886E+04
    0.15999893E+07        0.93923182E+04
    0.16037897E+07        0.93817369E+04
    0.16075902E+07        0.93711447E+04
    0.16113906E+07        0.93605416E+04
    0.16151911E+07        0.93499279E+04
    0.16189915E+07        0.93393035E+04
    0.16227920E+07        0.93286686E+04
