======================================
ACTIVITY code University of Birmingham
======================================
 
Date: 01:29 04/02/2014
Calculation Settings
 
Beam Duration/s:                 0.3000000000D+03
Beam Current/uA:                 0.1000000000D+01
Beam Energy/MeV:                 0.9000000000D+01
Beam Area/mm2:                   0.1000000000D+03
Target Thickness/Angstrom:       0.1000000000D+09
Target Density/kgm-3:            0.8000000000D+04
Activity Measurement Time/s:     0.8640000000D+05
Input File:                     examples/ER309L9MeVProton.in                                
Isotope File:                   data/isotopes.txt                                           
Decay Modes File:               data/decaymodes.txt                                         
Gamma Energies File:            data/gammaenergies.txt                                      
XS File Directory:              data/xs                                                     
 
 
Starting Isotope Tally
Element Z   A   Metastable Atoms/mg            Activity      
     C  006 012 0          0000024999519846400  0.0000000000D+00
     C  006 013 0          0000000231973847040  0.0000000000D+00
     N  007 014 0          0000075634726404096  0.0000000000D+00
     N  007 015 0          0000000240936189952  0.0000000000D+00
     SI 014 028 0          0000140307530252288  0.0000000000D+00
     SI 014 029 0          0000006645581086720  0.0000000000D+00
     SI 014 030 0          0000004098387869696  0.0000000000D+00
     P  015 031 0          0000004482226192384  0.0000000000D+00
     S  016 032 0          0000000307387793408  0.0000000000D+00
     S  016 033 0          0000000002288125952  0.0000000000D+00
     S  016 034 0          0000000012190903296  0.0000000000D+00
     TI 022 046 0          0000001163515002880  0.0000000000D+00
     TI 022 047 0          0000001005001572352  0.0000000000D+00
     TI 022 048 0          0000009546493853696  0.0000000000D+00
     TI 022 049 0          0000000672467255296  0.0000000000D+00
     TI 022 050 0          0000000618440491008  0.0000000000D+00
     V  023 050 0          0000000017264517120  0.0000000000D+00
     V  023 051 0          0000006611057770496  0.0000000000D+00
     CR 024 050 0          0000136951927668736  0.0000000000D+00
     CR 024 052 0          0002441985797390336  0.0000000000D+00
     CR 024 053 0          0000266542264614912  0.0000000000D+00
     CR 024 054 0          0000063932744073216  0.0000000000D+00
     MN 025 055 0          0000175352492064768  0.0000000000D+00
     FE 026 054 0          0000403606398304256  0.0000000000D+00
     FE 026 056 0          0005891467843207168  0.0000000000D+00
     FE 026 057 0          0000131325747003392  0.0000000000D+00
     FE 026 058 0          0000016903303069696  0.0000000000D+00
     CO 027 059 0          0000002476234244096  0.0000000000D+00
     NI 028 058 0          0000884904191590400  0.0000000000D+00
     NI 028 060 0          0000318543295938560  0.0000000000D+00
     NI 028 061 0          0000013396622704640  0.0000000000D+00
     NI 028 062 0          0000041347654352896  0.0000000000D+00
     NI 028 064 0          0000009882502692864  0.0000000000D+00
     CU 029 063 0          0000002252655034368  0.0000000000D+00
     CU 029 065 0          0000000944100081664  0.0000000000D+00
     NB 041 093 0          0000000383219204096  0.0000000000D+00
     MO 042 092 0          0000000347108933632  0.0000000000D+00
     MO 042 094 0          0000000207759097856  0.0000000000D+00
     MO 042 095 0          0000000350547214336  0.0000000000D+00
     MO 042 096 0          0000000359941636096  0.0000000000D+00
     MO 042 097 0          0000000202149658624  0.0000000000D+00
     MO 042 098 0          0000000500908851200  0.0000000000D+00
     MO 042 100 0          0000000192313556992  0.0000000000D+00
 
Final Isotope Tally
Element Z   A   Metastable Atoms/mg            Activity      T1/2          
     H  001 001 0          0000000004197048900  0.0000000000D+00 -0.1000000000D+01
     D  001 002 0          0000000000000057270  0.0000000000D+00 -0.1000000000D+01
     HE 002 003 0          0000000000001026450  0.0000000000D+00 -0.1000000000D+01
     HE 002 004 0          0000000000041327700  0.0000000000D+00 -0.1000000000D+01
     BE 004 008 0          0000000000000000870  0.0000000000D+00 -0.1000000000D+01
     B  005 010 0          0000000000000021840  0.0000000000D+00 -0.1000000000D+01
     B  005 011 0          0000000000013560390  0.0000000000D+00 -0.1000000000D+01
     C  006 012 0          0000024999514983730  0.0000000000D+00 -0.1000000000D+01
     C  006 013 0          0000000231973641150  0.0000000000D+00 -0.1000000000D+01
     N  007 014 0          0000075634676728626  0.0000000000D+00 -0.1000000000D+01
     N  007 015 0          0000000240935860372  0.0000000000D+00 -0.1000000000D+01
     MG 012 026 0          0000000000000004650  0.0000000000D+00 -0.1000000000D+01
     AL 013 027 0          0000000000000300450  0.0000000000D+00 -0.1000000000D+01
     SI 014 028 0          0000140307461832668  0.0000000000D+00 -0.1000000000D+01
     SI 014 029 0          0000006645576141820  0.0000000000D+00 -0.1000000000D+01
     SI 014 030 0          0000004098384655796  0.0000000000D+00 -0.1000000000D+01
     P  015 031 0          0000004482221663674  0.0000000000D+00 -0.1000000000D+01
     S  016 032 0          0000000307387631378  0.0000000000D+00 -0.1000000000D+01
     S  016 033 0          0000000002288124242  0.0000000000D+00 -0.1000000000D+01
     S  016 034 0          0000000012190893246  0.0000000000D+00 -0.1000000000D+01
     CA 020 043 0          0000000000000000540  0.0000000000D+00 -0.1000000000D+01
     CA 020 044 0          0000000000000001890  0.0000000000D+00 -0.1000000000D+01
     SC 021 045 0          0000000000000004440  0.0000000000D+00 -0.1000000000D+01
     TI 022 046 0          0000001163514213730  0.0000000000D+00 -0.1000000000D+01
     TI 022 047 0          0000001005000772162  0.0000000000D+00 -0.1000000000D+01
     TI 022 048 0          0000009546482553670  0.0000000000D+00 -0.1000000000D+01
     TI 022 049 0          0000000672466089616  0.0000000000D+00 -0.1000000000D+01
     TI 022 050 0          0000000618439411248  0.0000000000D+00 -0.1000000000D+01
     V  023 048 0          0000000000004023166  0.3547230204D+03  0.1380110400D+07
     V  023 049 0          0000000000002583480  0.1102586502D+02  0.2851200000D+08
     V  023 050 0          0000000017265297540  0.4758550411D-12  0.4415040000D+25
     V  023 051 0          0000006611047356776  0.0000000000D+00 -0.1000000000D+01
     CR 024 050 0          0000136951845989386  0.0000000000D+00 -0.1000000000D+01
     CR 024 051 0          0000000000004911660  0.2497070707D+03  0.2393496000D+07
     CR 024 052 0          0002441984178307722  0.0000000000D+00 -0.1000000000D+01
     CR 024 053 0          0000266541828068802  0.0000000000D+00 -0.1000000000D+01
     CR 024 054 0          0000063932636217859  0.0000000000D+00 -0.1000000000D+01
     MN 025 052 0          0000000000080093774  0.2017580042D+05  0.4830624000D+06
     MN 025 053 0          0000000000226893360  0.2340878255D-03  0.1179446400D+15
     MN 025 054 0          0000000000052136837  0.2352581023D+03  0.2696716800D+08
     MN 025 055 0          0000175352223879344  0.0000000000D+00 -0.1000000000D+01
